,,,,,
Haltech Pricing - January 2026,,,,,
USD,Category,Subcategory,,Price (USD),
HT-151308,ECU - Engine Management,Elite 2500,"HT-151308 RB Twin CAM Elite 2500 ECU, Main Harness, CAS Breakout, Earl",$ 3083.00,9356450012676
HT-151309,ECU - Engine Management,Elite 2500,"HT-151309 RB Twin CAM Elite 2500 ECU, Main Harness, CAS Breakout, Late",$ 3083.00,9356450012683
HT-151311,ECU - Engine Management,Elite 2500,HT-151311 RB Single Cam Elite 2500 ECU Harness Kit,$ 3150.00,9356450012690
HT-151320,ECU - Engine Management,Elite 2500,HT-151320 Elite 2500 PnP Adapt Kit - Subaru WRX MY06-07,$ 2419.00,9356450012737
HT-151321,ECU - Engine Management,Elite 2500,HT-151321 Elite 2500 Plug n Play Adapt Kit - Subaru WRX MY06-10,$ 2419.00,9356450012744
HT-151325,ECU - Engine Management,Elite 2500,HT-151325 Elite 2500 PnP Adapt Kit - Subaru GDB WRX MY01-05,$ 2419.00,9356450012751
HT-151328,ECU - Engine Management,Elite 2500,HT-151328 Elite 2500 PnP Adapt Harn ECU Kit - Maz RX7 FD S6,$ 2419.00,9356450012782
HT-151329,ECU - Engine Management,Elite 2500,HT-151329 Elite 2500 PnP Adapt Harn ECU Kit - Maz RX7 FD S7 & 8,$ 2419.00,9356450012799
HT-151331,ECU - Engine Management,Elite 2500,HT-151331 Elite 2500 Plug n Play Adapt Harn ECU Kit - Mitsu EVO 9,$ 2419.00,9356450012805
HT-151354,ECU - Engine Management,Elite 2500,HT-151354 Elite 2500 PnP Adapt Kit - Toyota  Chaser & Soarer 1JZ-GTE,$ 2419.00,9356450012898
HT-151356,ECU - Engine Management,Elite 2500,HT-151356 Elite 2500 PnP Adapt Kit - Subaru Liberty 3.0R & GT MY04/05,$ 2419.00,9356450012911
HT-151357,ECU - Engine Management,Elite 2500,HT-151357 Elite 2500 PnP Adapt Harn ECU Kit - Nissan Skyline R32,$ 2419.00,9356450012928
HT-151358,ECU - Engine Management,Elite 2500,HT-151358 Elite 2500 PnP Adapt Kit - Nissan Skyline R34 GT-T,$ 2419.00,9356450012935
HT-151359,ECU - Engine Management,Elite 2500,HT-151359 Elite 2500 PnP Adapt Kit - Nissan 300ZX Z32,$ 2419.00,9356450012942
HT-151360,ECU - Engine Management,Elite 2500,HT-151360 Elite 2500 GM GEN III LS1 non DBW Terminated Harness Kit EV1,$ 2629.00,9356450012959
HT-151362,ECU - Engine Management,Elite 2500,HT-151362 Elite 2500 GM GEN III LS1 (DBW Ready) Term Harn Kit - EV1,$ 2629.00,9356450012966
HT-151364,ECU - Engine Management,Elite 2500,HT-151364 Elite 2500 GM GEN IV LS2 non DBW Terminated Harness Kit EV1,$ 2629.00,9356450012973
HT-151365,ECU - Engine Management,Elite 2500,HT-151365 Elite 2500 GM GEN IV LS2 non DBW Terminated Harness Kit EV6,$ 2629.00,9356450012980
HT-151366,ECU - Engine Management,Elite 2500,HT-151366 Elite 2500 GM GEN IV LS2 DBW Ready Term Harn Kit - EV1,$ 2629.00,9356450012997
HT-151367,ECU - Engine Management,Elite 2500,HT-151367 Elite 2500 GM GEN IV LS2 DBW Ready Term Harn Kit - EV6,$ 2629.00,9356450013000
HT-151389,ECU - Engine Management,Elite 2500,HT-151389 Elite 2500 PnP Adapt Kit - Toyota LandCruiser 1FZ-FE MY95-97,$ 2419.00,9356450013062
HT-151398,ECU - Engine Management,Elite 2500,HT-151398 Elite 2500 PnP Adapt Harn ECU Kit Nissan Patrol Y60 Y61 Auto,$ 2419.00,9356450013109
HT-151399,ECU - Engine Management,Elite 2500,HT-151399 Elite 2500 PnP Adapt Harn ECU Kit Nissan Patrol Y60 Auto,$ 2419.00,9356450013116
HT-151310,ECU - Engine Management,Elite 2500 T,Elite 2500 T ECU,$ 3429.00,9356450007429
HT-151326,ECU - Engine Management,Elite 2500 T,HT-151326 Elite 2500 Toyota 2JZ Terminated Harness Kit inc HPI6 15AMP,$ 3549.00,9356450012768
HT-151355,ECU - Engine Management,Elite 2500 T,HT-151355 Elite 2500 Toyota 2JZ Terminated Harness IGN-1A ECU Kit,$ 3144.00,9356450012904
HT-150400,ECU - Engine Management,Elite 550,HT-150400 Elite 550 ECU,$ 920.00,9356450007351
HT-150401,ECU - Engine Management,Elite 550,HT-150401 Elite 550 + Plug and Pin Set,$ 980.00,9356450011785
HT-150600,ECU - Engine Management,Elite 750,HT-150600 Elite 750 ECU,$ 1195.00,9356450007368
HT-150601,ECU - Engine Management,Elite 750,HT-150601 Elite 750 ECU + Plug and Pin Set,$ 1255.00,9356450011822
HT-150621,ECU - Engine Management,Elite 750,HT-150621 Elite 750 PnP Adapt Harn ECU Kit - Mazda Miata/MX-5 NB,$ 1655.00,9356450011860
HT-150622,ECU - Engine Management,Elite 750,HT-150622 Elite 750 PnP Adapt Harn ECU Kit - Mazda Miata/MX-5 NA,$ 1655.00,9356450011877
HT-150647,ECU - Engine Management,Elite 750,HT-150647 Elite 750 PnP Adapt Harn Kit Toyota LandCruiser 80 1FZ-FE,$ 1655.00,9356450011884
HT-150660,ECU - Engine Management,Elite 750,HT-150660 Elite 750 PnP Adapt Harn ECU Kit Nissan Patrol Y60 Auto,$ 1655.00,9356450011891
HT-150661,ECU - Engine Management,Elite 750,HT-150661 Elite 750 PnP Adapt Harn ECU Kit Nissan Patrol Y60 Y61 Auto,$ 1655.00,9356450011907
HT-055016,ECU - Engine Management,Elite PRO Plug-in,HT-055016 Platinum PRO Direct Plug-in Nissan Z33 350Z DBW Kit,$ 1795.00,9356450004343
HT-055045,ECU - Engine Management,Elite PRO Plug-in,HT-055045 Platinum PRO Direct Plug-in - Hyundai BK Theta Genesis Kit,$ 1795.00,9356450004350
HT-055047,ECU - Engine Management,Elite PRO Plug-in,HT-055047 Platinum PRO Direct Plug-in Honda EP3 Kit (Manual trans only,$ 1795.00,9356450004367
HT-055048,ECU - Engine Management,Elite PRO Plug-in,HT-055048 Platinum PRO Direct Plug-in Honda DC5/RSX Kit,$ 1795.00,9356450004374
HT-055050,ECU - Engine Management,Elite PRO Plug-in,HT-055050 Platinum PRO Direct Plug-in Honda S2000 AP1 Kit,$ 1795.00,9356450004381
HT-055064,ECU - Engine Management,Elite PRO Plug-in,HT-055064 Platinum PRO Direct Plug-in Mitsubishi EVO 9 MIVEC Kit,$ 1795.00,9356450004398
HT-055105,ECU - Engine Management,Elite PRO Plug-in,HT-055105 Platinum PRO Direct Plug-in Nissan R34 GT-T Skyline Kit,$ 1795.00,9356450004411
